index,phrase,recording_id,start,duration,channel,language,speaker,gloss,lemmata,fst_normalized,num_raw_variants,token_count
1783,ingganona nera ndoba,HH20220719-2,1267.56,1.77,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] fence[ACC,PL] tomorrow[]",ŋgá nɔn ɛ́ɾɛ́ nd̪ɔ̀bà,íŋgá_nɔ́nà nɛ́ɾá nd̪ɔ̀bà,1,3
1784,ingganona nera,HH20220326-2,895.541,1.51,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] fence[ACC,PL]",ŋgá nɔn ɛ́ɾɛ́,íŋgá_nɔ́nà nɛ́ɾá,1,3
1785,ingganona nene ndoba,HH20220828,451.555,1.95,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] dog[ACC,PL] tomorrow[]",ŋgá nɔn ŋɛ́n nd̪ɔ̀bà,íŋgá_nɔ́nà ɲɛ́nɛ́ nd̪ɔ̀bà,1,3
1786,ingganona nene,HH20220326-5,649.615,1.98,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] one[CLƝ]",ŋgá nɔn <CL>ɛ́nɛ̀,íŋgá_nɔ́nà ɲɛ́nɛ̀,1,3
1787,ingganona nelene ndoba,HH20220719-2,1137.755,1.67,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] king[ACC,PL] tomorrow[]",ŋgá nɔn ɛ́lê nd̪ɔ̀bà,íŋgá_nɔ́nà nɛ́léɲé nd̪ɔ̀bà,1,3
1788,ingganona nele,HH20220326-2,861.126,1.54,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] king[NOM,PL]",ŋgá nɔn ɛ́lê,íŋgá_nɔ́nà nɛ́lê,1,3
1789,ingganona nelara ndoba,HH20220719-2,869.1,1.6800000000000002,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] farmer[NOM,PL] tomorrow[]",ŋgá nɔn ɛ̀làɽà nd̪ɔ̀bà,íŋgá_nɔ́nà nɛ̀làɽà nd̪ɔ̀bà,1,3
1790,ingganona nelara,HH20220326-2,786.146,1.82,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] farmer[NOM,PL]",ŋgá nɔn ɛ̀làɽà,íŋgá_nɔ́nà nɛ̀làɽà,1,3
1791,ingganona ngarane,HH20220326-5,491.84,1.86,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] palm.leaf.basket[ACC,PL]",ŋgá nɔn làɾân,íŋgá_nɔ́nà ŋàɾánɛ́,1,3
1792,ingganona ngara ndoba,HH20220719-2,1988.965,1.7000000000000002,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] put[CLŊ,VENT,DEP] tomorrow[]",ŋgá nɔn aɽ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋàɽà nd̪ɔ̀bà,1,3
1793,ingganona ngara,HH20220326-3,412.605,1.97,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] put[CLŊ,VENT,DEP]",ŋgá nɔn aɽ,íŋgá_nɔ́nà ŋàɽà,1,3
1794,ingganona ngan ndoba,HH20220719-2,2009.975,1.63,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] milk[NOM,PL] tomorrow[]",ŋgá nɔn lán nd̪ɔ̀bà,íŋgá_nɔ́nà ŋán nd̪ɔ̀bà,1,3
1795,ingganona ngan,HH20220326-3,445.43,1.79,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] milk[NOM,PL]",ŋgá nɔn lán,íŋgá_nɔ́nà ŋán,1,3
1796,ingganona ngaco ndoba,HH20220719-2,1969.095,1.79,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] mud[NOM,PL] tomorrow[]",ŋgá nɔn lácɔ́ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋácɔ́ nd̪ɔ̀bà,1,3
1797,ingganona ngaco,HH20220326-3,376.505,1.97,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] mud[NOM,PL]",ŋgá nɔn lácɔ́,íŋgá_nɔ́nà ŋácɔ́,1,3
1798,ingganona ng@vara ndoba,HH20220719-2,2052.52,1.67,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] run[CLŊ,VENT,DEP] tomorrow[]",ŋgá nɔn var nd̪ɔ̀bà,íŋgá_nɔ́nà ŋə̀vàrà nd̪ɔ̀bà,1,3
1799,ingganona ng@v@ra ndoba,HH20220726-1,3424.165,2.12,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] field[ACC,PL] tomorrow[]",ŋgá nɔn lə̀və́r nd̪ɔ̀bà,íŋgá_nɔ́nà ŋə̀və́rá nd̪ɔ̀bà,1,3
1800,ingganona ng@v@ra,HH20220326-5,25.57,1.96,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] field[ACC,PL]",ŋgá nɔn lə̀və́r,íŋgá_nɔ́nà ŋə̀və́rá,1,3
1801,ingganona ng@tro ndoba,HH20220719-2,2211.095,1.79,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] skirt[ACC,PL] tomorrow[]",ŋgá nɔn lə̀t̪ɾì nd̪ɔ̀bà,íŋgá_nɔ́nà ŋə̀t̪ɾɔ̀ nd̪ɔ̀bà,1,3
1802,ingganona ng@rta ndoba,HH20220726-1,2351.85,1.84,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] word[ACC,SG] tomorrow[]",ŋgá nɔn ŋə́rt̪á nd̪ɔ̀bà,íŋgá_nɔ́nà ŋə̀rt̪á nd̪ɔ̀bà,1,4
1803,ingganona ng@rta,HH20220326-4,12.28,1.88,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] word[NOM,SG]",ŋgá nɔn ŋə́rt̪á,íŋgá_nɔ́nà ŋə́rt̪á,1,3
1804,ingganona ng@rime ndoba,HH20220828,478.12,2.01,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] darkness[ACC,SG] tomorrow[]",ŋgá nɔn ŋ̀rím nd̪ɔ̀bà,íŋgá_nɔ́nà ŋə̀ɾímɛ́ nd̪ɔ̀bà,1,3
1805,ingganona ng@pijo ndoba,HH20220719-2,2172.61,1.8,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] mushroom.sp.[NOM,PL] tomorrow[]",ŋgá nɔn lípíjɔ́ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋípíjɔ́ nd̪ɔ̀bà,1,3
1806,ingganona ng@mtere,HH20220326-5,112.47,2.12,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] frollicking[NOM,SG]",ŋgá nɔn ŋə̀mt̪ɛ́ɾɛ́,íŋgá_nɔ́nà ŋə̀mt̪ɛ́ɾɛ́,1,3
1807,ingganona ngijo ndoba,HH20220719-2,2230.875,1.81,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] beat[CLŊ,VENT,PFV,left_h] tomorrow[]",ŋgá nɔn ij nd̪ɔ̀bà,íŋgá_nɔ́nà ŋíjɔ́ nd̪ɔ̀bà,1,2
1808,ingganona ngijo,HH20220326-3,644.295,1.84,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] beat[CLŊ,VENT,PFV,left_h]",ŋgá nɔn ij,íŋgá_nɔ́nà ŋíjɔ́,1,3
1809,ingganona ngido ndoba,HH20220714,141.36,2.01,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] pot[ACC,PL] tomorrow[]",ŋgá nɔn lídí nd̪ɔ̀bà,íŋgá_nɔ́nà ŋídɔ́ nd̪ɔ̀bà,1,3
1810,ingganona ngido,HH20220326-2,236.891,1.56,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] pot[ACC,PL]",ŋgá nɔn lídí,íŋgá_nɔ́nà ŋídɔ́,1,3
1811,ingganona ngideno ndoba,HH20220714,153.43,2.1,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] rabbit/hare[ACC,SG] tomorrow[]",ŋgá nɔn ŋìðɛ̀ní nd̪ɔ̀bà,íŋgá_nɔ́nà ŋìðɛ̀nɔ́ nd̪ɔ̀bà,1,3
1812,ingganona ngideno,HH20220326-2,264.076,1.81,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] rabbit/hare[ACC,SG]",ŋgá nɔn ŋìðɛ̀ní,íŋgá_nɔ́nà ŋìðɛ̀nɔ́,1,3
1813,ingganona ngicolo ndoba,HH20211004,76.34,2.86,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] brown.squirrel[ACC,SG] tomorrow[]",ŋgá nɔn ŋ̀cɔ́lɔ̀ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋìcɔ́lɔ̀ nd̪ɔ̀bà,1,2
1814,ingganona ngera ndoba,HH20220726-1,3388.88,2.25,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] bowl[ACC,PL] tomorrow[]",ŋgá nɔn lə̀ré nd̪ɔ̀bà,íŋgá_nɔ́nà ŋɛ̀rá nd̪ɔ̀bà,1,3
1815,ingganona ngera,HH20220326-4,889.59,1.6800000000000002,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] bowl[ACC,PL]",ŋgá nɔn lə̀ré,íŋgá_nɔ́nà ŋɛ̀rá,1,3
1816,ingganona ngembra,HH20220326-4,856.4,1.92,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] bedsheet[ACC,PL]",ŋgá nɔn lɛ̀mbré,íŋgá_nɔ́nà ŋə̀mbrá,1,3
1817,ingganona ngedena ndoba,HH20220714,37.975,2.17,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] coconut/doleib[ACC,PL] tomorrow[]",ŋgá nɔn lèdé nd̪ɔ̀bà,íŋgá_nɔ́nà ŋèdéɲá nd̪ɔ̀bà,1,3
1818,ingganona ngedena,HH20220326-2,70.421,1.66,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] coconut/doleib[ACC,PL]",ŋgá nɔn lèdé,íŋgá_nɔ́nà ŋèdéɲá,1,3
1819,ingganona ngavara,HH20220326-3,518.79,2.19,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] stick[NOM,PL]",ŋgá nɔn làvàrà,íŋgá_nɔ́nà ŋàvàrà,1,2
1820,ingganona ngaro ndoba,HH20220719-2,2032.19,1.64,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] rock[ACC,PL] tomorrow[]",ŋgá nɔn lárɔ́ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋáró nd̪ɔ̀bà,1,3
1821,ingganona ngaro,HH20220326-3,482.465,2.15,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] rock[NOM,PL]",ŋgá nɔn lárɔ́,íŋgá_nɔ́nà ŋárɔ́,1,3
1822,ingganona ngarane ndoba,HH20220828,335.285,2.23,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] palm.leaf.basket[ACC,PL] tomorrow[]",ŋgá nɔn làɾân nd̪ɔ̀bà,íŋgá_nɔ́nà ŋàɾánɛ́ nd̪ɔ̀bà,1,3
1823,ingganona ngoro,HH20220326-3,859.98,2.05,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] red.thorn.tree[NOM,PL]",ŋgá nɔn lòró,íŋgá_nɔ́nà ŋòró,1,3
1824,ingganona ngonna ndoba,HH20230420-4,471.85,2.02,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] sorghum[ACC,PL] tomorrow[]",ŋgá nɔn lɔ̀n nd̪ɔ̀bà,íŋgá_nɔ́nà ŋɔ̀nà nd̪ɔ̀bà,1,2
1825,ingganona ngona ndoba,HH20220828,44.925,2.16,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] top[ACC,PL] tomorrow[]",ŋgá nɔn lɔ̀ɲɔ̀(1) nd̪ɔ̀bà,íŋgá_nɔ́nà ŋɔ̀ɲà nd̪ɔ̀bà,1,3
1826,ingganona ngona,HH20220326-5,91.915,1.89,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] top[ACC,PL]",ŋgá nɔn lɔ̀ɲɔ̀(1),íŋgá_nɔ́nà ŋɔ̀ɲà,1,3
1827,ingganona ngomone ndoba,HH20220828,384.83,1.92,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] day[ACC,PL] tomorrow[]",ŋgá nɔn lɔ́mɔ́n nd̪ɔ̀bà,íŋgá_nɔ́nà ŋɔ́mɔ́nɛ́ nd̪ɔ̀bà,1,3
1828,ingganona ngomone,HH20220326-5,560.38,1.95,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] day[ACC,PL]",ŋgá nɔn lɔ́mɔ́n,íŋgá_nɔ́nà ŋɔ́mɔ́nɛ́,1,3
1829,ingganona ngomoda ndoba,HH20220828,20.72,2.21,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] log[ACC,PL] tomorrow[]",ŋgá nɔn lə̀mɔ́ð nd̪ɔ̀bà,íŋgá_nɔ́nà ŋɔ̀mɔ̀ðá nd̪ɔ̀bà,1,3
1830,ingganona ngomoda,HH20220326-5,57.165,2.1,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] log[ACC,PL]",ŋgá nɔn lə̀mɔ́ð,íŋgá_nɔ́nà ŋɔ̀mɔ̀ðá,1,3
1831,ingganona ngomo ndoba,HH20220719-2,2250.18,1.74,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] food/bread[NOM,PL] tomorrow[]",ŋgá nɔn lɔ̀mɔ̀ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋɔ̀mɔ̀ nd̪ɔ̀bà,1,3
1832,ingganona ngomo,HH20220326-3,678.715,1.88,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] food/bread[NOM,PL]",ŋgá nɔn lɔ̀mɔ̀,íŋgá_nɔ́nà ŋɔ̀mɔ̀,1,3
1833,ingganona ngoda nge laro ndoba,HH20230420-2-Zoom,2945.053,2.581,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] bone[ACC,PL] aux[CLŊ,IPFV,3SG.OBJ,1SG.SBJ] chicken/hen[NOM,PL] tomorrow[]",ŋgá nɔn lòðì ŋgá âɾò nd̪ɔ̀bà,íŋgá_nɔ́nà ŋòðà ŋɛ́ lâɾò nd̪ɔ̀bà,1,1
1834,ingganona ngoda nge jamla ndoba,HH20230420-2-Zoom,2964.378,2.919,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] bone[ACC,PL] aux[CLŊ,IPFV,3SG.OBJ,1SG.SBJ] camel[NOM,PL] tomorrow[]",ŋgá nɔn lòðì ŋgá ðámlá nd̪ɔ̀bà,íŋgá_nɔ́nà ŋòðà ŋɛ́ jámlá nd̪ɔ̀bà,1,3
1835,ingganona ngoda ndoba,HH20220712-1,1298.397,1.78,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] bone[ACC,PL] tomorrow[]",ŋgá nɔn lòðì nd̪ɔ̀bà,íŋgá_nɔ́nà ŋòðà nd̪ɔ̀bà,1,1
1836,ingganona ngitro,HH20220326-3,609.23,2.06,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] skirt[ACC,PL]",ŋgá nɔn lə̀t̪ɾì,íŋgá_nɔ́nà ŋə̀t̪ɾɔ̀,1,3
1837,ingganona ngircoco ndoba,HH20230516,2425.98,1.96,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] learning[NOM,SG] tomorrow[]",ŋgá nɔn ŋìɾcɔ̀cɔ̀ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋìɾcɔ̀cɔ̀ nd̪ɔ̀bà,1,2
1838,ingganona ngipijo,HH20220326-3,572.215,1.99,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] mushroom.sp.[NOM,PL]",ŋgá nɔn lípíjɔ́,íŋgá_nɔ́nà ŋípíjɔ́,1,3
1839,ingganona ngudorena ndoba,HH20220714,16.725,2.33,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] mountain[ACC,PL] tomorrow[]",ŋgá nɔn dòɾè nd̪ɔ̀bà,íŋgá_nɔ́nà ŋùdòɾèɲà nd̪ɔ̀bà,1,3
1840,ingganona ngudorena,HH20220326-2,34.691,1.88,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] mountain[ACC,PL]",ŋgá nɔn dòɾè,íŋgá_nɔ́nà ŋùdòɾèɲà,1,3
1841,ingganona ngudongana ndoba,HH20230717-1,702.91,2.34,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] kindle-loc[CLŊ,VENT,PFV,3SG.OBJ,1PL.EXCL.SBJ] tomorrow[]",ŋgá nɔn ud̪-ɛt̪ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋùd̪ɔ̀t̪áɲà nd̪ɔ̀bà,1,1
1842,ingganona ngudo ngenggana ndoba,HH20230717-1,706.77,3.11,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] sheaf/grass.bundle[NOM,PL] scratch[CLŊ,VENT,PFV,3SG.OBJ,1PL.EXCL.SBJ,left_h] tomorrow[]",ŋgá nɔn lʊ̀dó ŋaŋ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋʊ̀dó ŋə́ŋàŋáɲà nd̪ɔ̀bà,1,1
1843,ingganona ngudo ngengana ndoba,HH20230717-1,713.33,2.76,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] sheaf/grass.bundle[NOM,PL] see[CLŊ,VENT,PFV,3SG.OBJ,1PL.EXCL.SBJ,left_h] tomorrow[]",ŋgá nɔn lʊ̀dó aŋ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋʊ̀dó ŋáŋáɲà nd̪ɔ̀bà,1,1
1844,ingganona ngudere ndoba,HH20230516,2701.7,2.0,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] sleep[ACC,SG] tomorrow[]",ŋgá nɔn ŋùðɛ́r nd̪ɔ̀bà,íŋgá_nɔ́nà ŋùðɛ́ɾɛ́ nd̪ɔ̀bà,1,3
1845,ingganona nguco ndoba,HH20220726-1,2394.23,2.0,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] soup[NOM,PL] tomorrow[]",ŋgá nɔn lúcɔ́ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋúcɔ́ nd̪ɔ̀bà,1,3
1846,ingganona nguco,HH20220326-4,65.86,1.6800000000000002,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] soup[NOM,PL]",ŋgá nɔn lúcɔ́,íŋgá_nɔ́nà ŋúcɔ́,1,3
1847,ingganona ngubute ndoba,HH20220828,412.355,2.27,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] dove[ACC,PL] tomorrow[]",ŋgá nɔn lùbút̪ú nd̪ɔ̀bà,íŋgá_nɔ́nà ŋúbútɛ́ nd̪ɔ̀bà,1,3
1848,ingganona ngubute,HH20220326-5,598.045,2.04,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] dove[NOM,PL]",ŋgá nɔn lùbút̪ú,íŋgá_nɔ́nà ŋùbút̪ú,1,3
1849,ingganona ngta ndoba,HH20220726-1,2826.63,2.0,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] head[ACC,PL] tomorrow[]",ŋgá nɔn tá nd̪ɔ̀bà,íŋgá_nɔ́nà ŋ̀tá nd̪ɔ̀bà,1,3
1850,ingganona ngta,HH20220326-4,356.81,1.72,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] head[NOM,PL]",ŋgá nɔn tá,íŋgá_nɔ́nà ŋtá,1,3
1851,ingganona ngroba ndoba,HH20220726-1,2182.57,1.88,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] medicine[NOM,PL] tomorrow[]",ŋgá nɔn lrɔ̂bà nd̪ɔ̀bà,íŋgá_nɔ́nà ŋrɔ̂bà nd̪ɔ̀bà,1,3
1852,ingganona ngroba,HH20220326-3,715.69,2.0,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] medicine[NOM,PL]",ŋgá nɔn lrɔ̂bà,íŋgá_nɔ́nà ŋrɔ̂bà,1,3
1853,ingganona ngrime,HH20220326-5,689.875,1.62,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] darkness[ACC,SG]",ŋgá nɔn ŋ̀rím,íŋgá_nɔ́nà ŋə̀ɾímɛ́,1,3
1854,ingganona ngoron ndoba,HH20211004,429.9,2.7,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] black.squirrel[NOM,SG] tomorrow[]",ŋgá nɔn ŋòɽón nd̪ɔ̀bà,íŋgá_nɔ́nà ŋòɽón nd̪ɔ̀bà,1,2
1855,ingganona ngutosa,HH20220326-5,182.51,1.85,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] palm.of.hand[ACC,PL]",ŋgá nɔn tòsò,íŋgá_nɔ́nà ŋʊ̀tòsà,1,3
1856,ingganona nguro ndoba,HH20220726-1,2278.18,2.19,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] red.thorn.tree[ACC,PL] tomorrow[]",ŋgá nɔn lòró nd̪ɔ̀bà,íŋgá_nɔ́nà ŋùró nd̪ɔ̀bà,1,3
1857,ingganona ngurjene ndoba,HH20220828,574.33,2.04,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] gourd/calabash[ACC,PL] tomorrow[]",ŋgá nɔn ùɽɟɛ̀n nd̪ɔ̀bà,íŋgá_nɔ́nà ŋùɽɟɛ́nɛ́ nd̪ɔ̀bà,1,3
1858,ingganona ngurjene,HH20220326-5,822.075,2.27,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] gourd/calabash[ACC,PL,left_h]",ŋgá nɔn ùɽɟɛ̀n,íŋgá_nɔ́nà ŋúɽɟɛ́nɛ́,1,3
1859,ingganona ngurine ndoba,HH20220714,73.015,3.23,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] axe[ACC,SG] tomorrow[]",ŋgá nɔn ŋúɽî nd̪ɔ̀bà,íŋgá_nɔ́nà ŋúɽíɲɛ́ nd̪ɔ̀bà,1,3
1860,ingganona ngurine,HH20220326-2,132.911,1.8,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] axe[ACC,SG]",ŋgá nɔn ŋúɽî,íŋgá_nɔ́nà ŋúɽíɲɛ́,1,3
1861,ingganona ngurijo ndoba,HH20220726-1,2258.995,1.94,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] cucumber[NOM,PL] tomorrow[]",ŋgá nɔn lùɾìjɔ́ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋùɾìjɔ́ nd̪ɔ̀bà,1,3
1862,ingganona ngurijo,HH20220326-3,817.78,1.84,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] climb.down-caus[CLŊ,VENT,DEP]",ŋgá nɔn ur-ij,íŋgá_nɔ́nà ŋùrìjɔ̀,1,3
1863,ingganona nguo ndoba,HH05212021-1,1385.875,2.69,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] dress/shirt/cloth[NOM,PL] tomorrow[]",ŋgá nɔn lúgɔ́ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋúɔ́ nd̪ɔ̀bà,1,2
1864,ingganona ngumboro,HH20220326-3,925.48,1.86,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] calf[NOM,SG]",ŋgá nɔn ŋʊ̀mbòɽó,íŋgá_nɔ́nà ŋʊ̀mbòɽó,1,3
1865,ingganona ngumb@ro ndoba,HH20220726-1,2331.535,2.02,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] calf[ACC,SG] tomorrow[]",ŋgá nɔn ŋʊ̀mbòɽó nd̪ɔ̀bà,íŋgá_nɔ́nà ŋʊ̀mbə́ɽó nd̪ɔ̀bà,1,3
1866,ingganona ngula ndoba,HH20220726-1,2462.75,1.76,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] family[NOM,SG] tomorrow[]",ŋgá nɔn ŋùlá nd̪ɔ̀bà,íŋgá_nɔ́nà ŋùlá nd̪ɔ̀bà,1,3
1867,ingganona ngula,HH20220326-4,84.71,1.56,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] family[NOM,SG]",ŋgá nɔn ŋùlá,íŋgá_nɔ́nà ŋùlá,1,3
1868,ingganona ngugo ndoba,HH20220726-1,2205.215,2.14,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] dress/shirt/cloth[NOM,PL] tomorrow[]",ŋgá nɔn lúgɔ́ nd̪ɔ̀bà,íŋgá_nɔ́nà ŋúgɔ́ nd̪ɔ̀bà,1,3
1869,ingganona ngugo,HH20220326-3,749.86,1.76,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] dress/shirt/cloth[NOM,PL]",ŋgá nɔn lúgɔ́,íŋgá_nɔ́nà ŋúgɔ́,1,6
1870,ingganona ngudorngengana ndoba,HH20230717-1,722.14,2.1,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] <NO_GLOSS> tomorrow[]",ŋgá nɔn ŋùdóɾŋɛ́ŋầɲà nd̪ɔ̀bà,íŋgá_nɔ́nà ŋùdóɾŋɛ́ŋầɲà nd̪ɔ̀bà,1,1
1871,ingganona node ndoba,HH20220925,382.185,2.05,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] gazelle/antelope[NOM,PL] tomorrow[]",ŋgá nɔn ùðɛ̀ nd̪ɔ̀bà,íŋgá_nɔ́nà nùðɛ̀ nd̪ɔ̀bà,1,1
1872,ingganona nitilo ndoba,HH20220719-2,1752.78,1.76,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] year[ACC,PL] tomorrow[]",ŋgá nɔn ìt̪ə̀lɔ́ nd̪ɔ̀bà,íŋgá_nɔ́nà nìt̪ìlɔ́ nd̪ɔ̀bà,1,3
1873,ingganona nit@lo,HH20220326-3,209.665,1.96,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] year[NOM,PL]",ŋgá nɔn ìt̪ə̀lɔ́,íŋgá_nɔ́nà nìt̪ə̀lɔ́,1,3
1874,ingganona niri ndoba,HH20220719-2,1648.655,1.75,0,tic,Himidan,"aux look[CLG,IT,IPFV,1SG.SBJ,aux] trough[ACC,PL] tomorrow[]",ŋgá nɔn íɾí nd̪ɔ̀bà,íŋgá_nɔ́nà nírí nd̪ɔ̀bà,1,3
